,Casos policiales,,,,,,Ruidos molestos,,,,,,,,,,,,,Consumo de alcohol vía pública,,,,,,,,,,,,,Ebriedad,,,,,,,,,,,,,Hurtos,,,,,,,,,,,,,Otros robos con fuerza,,,,,,,,,,,,,Riña pública,,,,,,,,,,,,,Violencia intrafamiliar,,,,,,,,,,,,,Abusos y violaciones,,,,,,,,,,,,,Amenazas,,,,,,,,,,,,,Daños,,,,,,,,,,,,,Lesiones,,,,,,,,,,,,,Robo y receptación,,,,,,,,,,,,
,,,,,,2018,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,Unidad Territorial,,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,TRIM 1,,,TRIM 2,,,TRIM 3,,,TRIM 4,,,,
18,Macul,Santiago,Metropolitana de Santiago,,Macul,0,0,0,0,0,0,0,0,0,0,0,0,,39,30,26,18,21,11,11,22,32,38,51,29,,1,4,1,1,1,1,1,1,3,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,5,3,2,8,8,10,4,2,17,6,5,4,,0,0,0,0,1,0,0,1,0,0,1,0,,61,46,37,52,65,50,54,72,56,73,68,73,,9,3,7,8,5,10,10,5,6,10,6,8,,42,51,60,46,47,50,59,59,63,59,55,73,,38,49,50,45,35,50,36,61,51,58,63,68,,26,30,24,35,28,30,17,32,17,34,26,33,,156,142,146,123,123,133,120,139,126,155,176,171,Macul,4.526
19,Maipú,Santiago,Metropolitana de Santiago,,Maipú,0,0,0,0,0,0,0,0,0,0,0,0,,82,32,90,51,45,87,50,36,100,72,35,52,,4,2,1,2,4,1,0,6,1,8,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,,17,12,17,9,10,10,7,13,10,16,12,18,,1,3,2,2,3,3,0,2,6,7,8,9,,231,233,211,217,229,276,236,292,258,299,346,305,,33,21,42,27,28,28,34,42,41,46,55,35,,262,229,263,193,207,220,250,260,253,264,312,293,,215,187,191,146,195,208,197,226,218,287,245,253,,66,81,80,51,93,72,57,94,88,86,115,104,,469,498,499,426,348,427,416,402,439,578,460,508,Maipú,16.557
20,Ñuñoa,Santiago,Metropolitana de Santiago,,Ñuñoa,0,0,0,0,0,0,0,0,0,0,0,0,,240,185,200,57,98,89,78,36,128,134,84,36,,19,2,4,7,16,21,5,3,3,4,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,,8,18,9,13,12,8,11,6,15,16,19,8,,0,0,0,0,1,0,0,1,0,1,0,0,,35,43,63,46,68,57,53,68,61,76,86,80,,11,11,12,6,11,7,6,11,9,11,20,16,,48,67,49,45,53,40,64,59,70,65,59,75,,81,87,108,89,105,82,83,91,122,106,108,117,,30,26,40,31,20,30,32,21,25,44,47,40,,288,341,305,270,319,285,257,296,323,322,382,399,Ñuñoa,8.516
21,Pedro Aguirre Cerda,Santiago,Metropolitana de Santiago,,Pedro Aguirre Cerda,0,0,0,0,0,0,1,0,0,0,0,0,,12,0,4,0,3,0,0,2,0,0,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,3,2,0,2,4,2,1,3,2,0,,0,0,0,3,2,0,0,0,0,0,0,0,,50,41,37,33,51,42,62,77,63,72,73,76,,5,4,4,6,5,16,5,8,7,11,14,9,,67,68,61,48,72,62,69,87,56,99,100,86,,36,30,40,42,37,41,53,48,50,47,60,58,,37,35,17,21,26,19,21,22,26,35,37,40,,107,116,125,102,117,112,106,108,109,111,122,149,Pedro Aguirre Cerda,3.959
22,Peñalolén,Santiago,Metropolitana de Santiago,,Peñalolén,0,0,0,0,0,0,0,0,0,0,0,0,,30,20,70,30,42,48,69,138,139,103,41,36,,5,6,0,2,2,6,7,6,8,2,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,,6,4,5,1,2,6,6,2,4,6,7,10,,0,0,0,0,0,0,0,0,0,0,0,0,,112,98,79,92,104,113,123,146,146,174,160,136,,11,14,15,16,14,17,17,18,16,28,25,20,,149,125,147,139,135,151,139,139,153,161,196,178,,69,66,81,92,82,74,81,93,89,109,112,116,,63,51,58,59,56,37,48,42,43,58,76,84,,212,197,208,183,174,187,206,210,208,256,225,265,Peñalolén,8.651
23,Providencia,Santiago,Metropolitana de Santiago,,Providencia,0,0,3,0,0,0,0,0,0,0,0,0,,310,317,203,46,118,71,137,106,259,293,252,138,,12,4,3,1,8,3,1,5,4,4,7,2,,0,0,0,0,0,0,0,0,0,0,0,0,,13,25,18,11,14,14,20,20,18,37,27,23,,0,0,0,0,1,0,1,1,1,1,2,0,,26,26,26,25,31,44,31,33,31,35,47,65,,9,6,11,6,11,9,7,9,13,10,11,21,,48,30,46,29,54,44,50,45,49,55,60,58,,129,142,170,63,90,79,129,111,144,162,139,157,,29,23,27,19,35,20,34,25,27,34,49,45,,304,298,315,200,246,220,301,356,353,508,438,506,Providencia,9.592
24,Pudahuel,Santiago,Metropolitana de Santiago,,Pudahuel,0,0,0,0,0,0,0,0,0,0,0,0,,25,19,19,12,36,25,21,55,58,83,48,44,,3,4,3,4,0,2,5,3,2,5,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,,6,6,8,8,5,8,7,6,5,2,3,3,,3,1,3,1,2,2,3,0,0,1,1,2,,122,113,130,92,180,204,206,211,241,236,215,229,,21,17,23,11,23,11,18,22,27,24,24,14,,130,119,132,111,135,117,132,139,172,175,173,171,,113,84,91,100,80,85,99,89,127,112,115,104,,75,54,69,50,58,40,48,65,63,56,88,84,,247,281,290,291,222,216,215,255,265,298,254,259,Pudahuel,9.729
25,Quilicura,Santiago,Metropolitana de Santiago,,Quilicura,0,0,0,0,0,0,0,0,0,0,0,0,,78,55,43,51,34,20,31,50,226,64,49,25,,0,0,2,0,0,1,0,0,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,3,8,0,1,5,2,5,11,10,,0,1,3,0,1,1,1,2,3,0,3,3,,98,74,86,83,88,107,117,141,127,120,135,135,,14,13,19,17,24,21,20,16,21,23,23,21,,120,105,110,97,111,93,111,128,117,138,164,137,,90,72,84,65,72,66,87,100,97,111,112,124,,48,45,35,40,41,31,29,47,59,73,53,63,,219,193,263,187,161,204,248,248,226,272,239,274,Quilicura,8.149
26,Quinta Normal,Santiago,Metropolitana de Santiago,,Quinta Normal,0,0,0,0,0,0,0,0,0,1,0,0,,30,22,31,55,21,16,11,13,25,12,20,7,,7,1,0,1,3,1,1,0,4,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,2,7,4,8,7,2,3,6,1,8,5,1,,1,1,3,3,1,2,3,3,2,2,2,7,,68,54,47,54,77,100,97,102,121,118,105,105,,11,10,8,7,11,7,6,7,7,9,8,14,,65,70,78,51,72,72,71,77,68,94,113,90,,56,56,58,34,48,35,51,58,60,63,72,70,,39,30,39,28,25,29,30,28,32,41,46,43,,208,183,187,197,168,173,170,203,196,251,280,285,Quinta Normal,6.013
27,Recoleta,Santiago,Metropolitana de Santiago,,Recoleta,0,0,0,0,0,0,0,0,0,0,0,0,,25,57,59,11,33,34,31,40,49,35,38,22,,15,10,6,1,2,1,4,5,9,5,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,,16,17,20,22,10,15,20,20,21,23,22,24,,1,1,2,1,3,2,6,2,8,1,4,3,,92,59,66,72,97,84,105,90,106,121,111,103,,20,10,11,7,11,8,16,17,21,20,27,14,,171,111,105,89,105,137,124,136,142,134,160,146,,96,63,79,58,48,52,77,79,99,86,100,95,,93,58,64,60,62,56,60,62,66,71,94,90,,226,301,304,274,253,267,313,339,361,519,412,412,Recoleta,9.367
28,Renca,Santiago,Metropolitana de Santiago,,Renca,0,0,0,0,0,0,0,0,0,0,0,0,,15,4,1,3,2,2,3,4,0,7,5,0,,0,0,0,0,1,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,4,10,13,13,17,9,11,14,12,10,14,8,,4,3,4,2,6,5,4,2,5,5,2,2,,91,64,55,63,73,77,94,88,70,123,99,98,,9,9,11,11,13,14,7,12,17,15,17,12,,95,86,107,76,70,97,109,111,101,109,130,134,,73,46,67,52,64,52,66,75,57,71,75,82,,38,54,58,60,45,44,60,54,52,57,46,72,,145,158,176,138,103,109,121,163,171,174,165,187,Renca,5.825
29,San Joaquín,Santiago,Metropolitana de Santiago,,San Joaquín,0,0,0,0,0,0,0,0,0,0,0,0,,34,20,48,9,19,15,13,31,18,39,27,14,,1,2,3,1,2,2,1,0,5,1,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,2,1,2,1,2,3,1,1,3,2,,1,0,1,1,0,1,2,2,1,3,1,0,,37,31,38,58,54,89,66,88,67,79,75,77,,7,8,4,5,10,8,5,4,6,8,17,5,,46,60,49,50,51,56,53,61,62,74,68,70,,42,24,37,27,25,23,41,37,43,45,44,52,,28,23,18,13,15,14,15,26,20,25,22,34,,98,92,125,118,90,107,108,120,128,126,108,132,San Joaquín,3.935
30,San Miguel,Santiago,Metropolitana de Santiago,,San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,,42,54,56,10,8,7,12,15,14,11,11,8,,3,2,1,0,0,0,0,0,5,0,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,,3,8,2,7,6,5,2,3,4,3,7,6,,0,0,1,1,0,0,0,0,0,0,0,0,,38,48,38,52,62,59,63,58,61,55,64,68,,8,6,1,9,17,7,8,18,14,12,8,17,,38,52,54,46,40,59,53,69,52,59,61,68,,86,58,69,63,59,59,66,65,73,76,83,76,,30,32,25,29,22,23,29,25,24,32,28,36,,209,205,187,198,201,220,227,246,235,261,238,267,San Miguel,5.626
31,San Ramón,Santiago,Metropolitana de Santiago,,San Ramón,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,13,11,4,4,3,2,7,4,5,6,,2,0,4,4,3,2,3,3,3,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,2,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,,39,38,45,42,46,56,49,65,65,77,74,68,,4,11,4,2,8,5,6,6,8,7,8,8,,60,49,48,47,62,58,53,63,65,52,82,75,,42,39,40,53,54,38,29,35,44,43,41,42,,22,22,22,20,30,32,22,32,27,22,24,43,,80,76,78,74,77,85,108,92,90,102,93,101,San Ramón,3.426
