,Casos policiales,,,,,,Ruidos molestos,,,,,,,,,,,,,Consumo de alcohol vía pública,,,,,,,,,,,,,Ebriedad,,,,,,,,,,,,,Hurtos,,,,,,,,,,,,,Otros robos con fuerza,,,,,,,,,,,,,Riña pública,,,,,,,,,,,,,Violencia intrafamiliar,,,,,,,,,,,,,Abusos y violaciones,,,,,,,,,,,,,Amenazas,,,,,,,,,,,,,Daños,,,,,,,,,,,,,Lesiones,,,,,,,,,,,,,Robo y receptación,,,,,,,,,,
8,Independencia,Santiago,Metropolitana de Santiago,,Independencia,1,2,5,11,0,0,0,0,0,0,0,0,,12,9,10,14,3,6,13,22,42,41,60,70,,4,1,4,1,4,3,2,4,7,8,1,11,,62,72,45,27,30,34,21,29,26,51,37,31,,1,6,1,3,3,3,3,2,2,3,2,5,,3,0,2,3,0,1,0,1,4,1,2,3,,76,69,60,44,33,32,42,45,59,48,47,60,,10,7,9,6,3,11,10,9,11,11,12,7,,81,69,58,31,41,40,32,56,49,41,64,61,,71,46,39,48,41,25,34,46,54,72,48,59,,38,36,44,17,18,13,25,26,28,22,33,30,,299,269,261,211,160,176,178,138,134,157,181,152
9,La Cisterna,Santiago,Metropolitana de Santiago,,La Cisterna,0,0,1,0,0,0,0,0,0,0,0,0,,0,3,1,9,6,4,6,15,0,2,8,5,,0,0,0,0,1,1,2,0,2,0,1,0,,39,44,45,38,40,37,56,37,34,34,30,39,,6,2,1,5,2,3,0,3,4,5,2,2,,0,0,0,0,1,0,0,0,1,0,2,0,,56,30,56,43,33,23,27,42,44,42,42,47,,6,9,12,6,7,4,2,6,7,11,10,8,,48,60,44,31,36,16,48,68,50,42,61,64,,60,44,74,30,36,21,36,36,45,57,61,60,,36,32,33,15,23,16,11,25,31,23,27,35,,286,303,285,269,192,186,190,138,147,181,190,188
10,La Florida,Santiago,Metropolitana de Santiago,,La Florida,4,1,4,2,0,0,1,1,0,1,0,0,,36,42,17,30,47,19,38,112,117,177,143,188,,18,11,8,3,13,6,7,15,5,11,5,8,,424,370,205,130,121,134,145,100,137,241,220,261,,11,15,14,7,7,14,11,4,8,11,8,3,,0,0,1,0,0,0,0,0,0,0,2,3,,180,149,170,109,109,97,125,158,138,185,179,176,,29,29,24,13,3,12,23,32,27,20,25,25,,200,166,189,134,137,110,156,163,182,224,196,214,,219,179,188,124,97,75,102,118,127,155,173,168,,118,94,97,78,87,49,70,76,77,94,92,105,,746,794,768,645,512,443,423,279,324,410,427,403
11,La Granja,Santiago,Metropolitana de Santiago,,La Granja,0,0,0,0,0,0,0,0,0,0,0,0,,8,11,7,5,6,7,9,11,3,3,2,2,,0,1,1,1,2,0,1,2,2,0,0,0,,26,18,13,17,17,12,13,19,12,24,17,10,,1,2,2,2,7,3,2,3,1,2,0,0,,0,0,0,0,0,1,0,1,0,0,0,1,,70,71,65,40,44,43,52,61,87,73,64,53,,8,14,10,1,2,2,4,11,5,12,8,13,,102,103,93,59,67,59,62,72,93,92,75,88,,77,67,91,59,52,46,52,72,87,85,82,70,,53,42,50,32,38,27,31,30,34,30,44,44,,224,228,250,179,144,156,159,95,144,145,130,118
12,La Pintana,Santiago,Metropolitana de Santiago,,La Pintana,0,0,1,0,2,0,0,0,0,0,0,0,,19,36,17,2,5,5,1,8,8,3,8,27,,6,4,0,0,0,1,2,2,1,0,2,0,,46,37,53,21,35,27,26,28,25,28,34,19,,1,2,0,2,2,1,1,0,0,3,3,2,,1,1,2,1,1,0,0,0,2,1,2,2,,143,106,88,79,74,53,81,94,129,103,125,133,,21,18,17,9,5,10,15,21,14,14,22,12,,136,119,143,79,121,69,97,178,183,144,146,139,,78,80,77,43,34,36,35,51,58,73,72,55,,84,62,95,36,51,46,47,57,74,74,72,78,,243,240,211,220,197,205,199,130,166,159,157,144
13,La Reina,Santiago,Metropolitana de Santiago,,La Reina,0,0,2,2,0,0,0,0,0,0,0,0,,21,23,3,4,23,2,8,35,11,62,34,34,,6,0,0,0,4,2,2,4,2,4,7,7,,122,127,90,47,56,33,60,55,66,87,84,93,,13,20,7,4,6,3,2,2,5,14,9,5,,0,0,0,0,0,0,0,0,1,0,0,0,,33,26,34,18,17,21,19,36,34,21,33,27,,6,3,3,3,1,2,4,5,4,9,5,7,,32,23,28,27,21,15,25,28,21,17,30,33,,45,35,39,24,25,31,21,32,35,40,54,53,,14,21,21,12,13,7,10,12,14,20,16,20,,217,182,163,98,109,90,95,92,97,99,100,96
14,Las Condes,Santiago,Metropolitana de Santiago,,Las Condes,3,3,3,2,0,0,0,1,0,0,0,0,,35,31,32,1,5,0,10,37,42,47,57,55,,3,0,4,5,1,1,2,5,9,3,1,1,,337,273,209,56,78,81,93,108,141,177,169,189,,28,34,20,2,2,7,7,12,13,12,12,18,,1,0,3,0,0,0,0,1,0,0,0,0,,59,56,47,44,45,23,50,54,71,55,60,63,,4,8,15,1,1,3,6,5,10,13,14,12,,61,51,51,39,25,35,37,56,46,53,52,65,,134,109,112,50,58,38,54,76,91,145,122,118,,44,48,33,18,27,14,16,27,33,42,35,19,,519,399,358,148,204,163,203,201,231,281,292,251
15,Lo Barnechea,Santiago,Metropolitana de Santiago,,Lo Barnechea,0,3,1,0,0,0,0,0,2,1,3,0,,6,1,2,4,2,3,7,28,31,26,12,12,,1,1,0,0,0,1,1,1,3,1,2,0,,46,55,67,15,42,34,36,36,36,47,54,40,,6,4,3,3,5,2,2,0,2,3,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,,35,20,24,21,22,19,19,15,29,33,30,32,,6,1,4,0,5,2,2,2,3,5,5,3,,34,28,26,25,30,27,23,32,37,24,41,53,,41,26,18,17,37,19,12,19,29,39,52,36,,24,19,26,17,12,12,16,11,17,20,23,20,,100,55,67,44,77,34,50,50,58,67,53,61
16,Lo Espejo,Santiago,Metropolitana de Santiago,,Lo Espejo,0,1,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,8,2,5,1,0,0,22,10,,0,0,1,1,3,1,2,1,0,1,0,0,,14,14,15,12,8,10,20,15,11,13,11,10,,4,3,5,2,4,1,4,4,5,1,1,4,,0,0,0,0,0,0,0,0,0,0,0,0,,50,36,33,33,37,33,32,31,45,45,55,51,,11,7,9,0,5,1,6,8,4,9,7,4,,65,60,52,57,59,48,66,78,76,83,94,74,,40,46,44,32,29,36,39,48,45,42,49,44,,39,37,34,21,32,15,19,34,39,41,43,44,,249,233,190,210,181,159,205,136,124,143,139,141
17,Lo Prado,Santiago,Metropolitana de Santiago,,Lo Prado,5,3,1,5,2,0,0,0,0,2,0,0,,6,9,3,7,3,8,7,4,19,26,52,20,,8,11,0,12,1,5,3,2,3,4,6,8,,21,29,29,18,21,16,30,12,15,15,22,21,,1,0,2,2,2,3,0,2,0,0,0,1,,0,1,3,3,1,2,2,1,2,1,3,1,,71,58,59,48,70,43,41,63,73,55,61,76,,13,8,10,3,6,5,4,5,5,10,6,3,,76,64,65,59,57,52,48,62,83,64,70,56,,67,37,56,38,26,27,27,21,36,43,45,45,,50,38,42,34,34,25,33,27,42,39,52,35,,181,201,193,167,108,90,108,72,75,108,94,92
18,Macul,Santiago,Metropolitana de Santiago,,Macul,0,0,0,0,0,0,0,0,0,0,0,0,,16,46,19,12,19,7,16,14,26,34,53,78,,0,3,1,0,2,3,2,4,1,2,2,1,,43,49,46,54,85,50,50,27,32,29,32,29,,3,2,2,1,8,7,2,2,3,3,4,3,,1,0,1,0,0,0,0,0,2,0,0,0,,60,51,52,47,48,45,60,54,58,48,49,49,,8,9,2,3,6,2,8,3,6,6,9,5,,61,74,61,46,48,38,53,62,62,72,57,39,,87,58,76,34,26,26,35,40,45,59,51,54,,33,25,19,21,20,18,21,17,19,27,32,29,,244,233,291,220,196,172,134,118,108,153,169,130
19,Maipú,Santiago,Metropolitana de Santiago,,Maipú,4,1,8,7,1,0,0,0,0,0,0,0,,7,14,16,15,57,9,55,55,80,123,138,75,,1,0,2,2,3,1,3,6,3,10,3,4,,187,137,123,94,84,58,89,92,90,101,108,140,,13,9,9,19,14,1,8,9,10,9,8,9,,0,2,2,1,1,3,7,1,3,2,2,7,,196,200,244,187,156,147,173,208,242,264,275,271,,36,36,40,13,14,19,36,35,20,39,41,40,,220,201,256,174,179,144,201,269,282,266,272,289,,277,185,249,131,126,102,151,168,209,231,265,287,,106,100,111,72,52,49,51,69,84,89,139,109,,778,739,831,775,602,498,512,393,427,499,462,522
20,Ñuñoa,Santiago,Metropolitana de Santiago,,Ñuñoa,0,5,6,10,0,0,0,0,1,0,0,0,,23,116,84,10,26,2,7,26,96,88,229,209,,14,11,13,2,3,4,9,3,13,16,20,9,,136,123,122,38,61,93,74,86,73,84,89,68,,17,13,14,5,13,11,7,9,7,13,7,7,,0,1,0,0,0,0,0,0,2,0,0,0,,84,62,67,67,63,46,57,73,77,66,73,67,,12,13,15,6,7,3,9,11,15,14,9,11,,48,58,52,34,39,29,43,60,50,69,62,58,,147,154,108,54,62,49,65,76,95,109,110,100,,38,35,44,20,22,18,26,33,23,42,26,35,,602,597,542,265,323,264,293,281,275,387,405,323
21,Pedro Aguirre Cerda,Santiago,Metropolitana de Santiago,,Pedro Aguirre Cerda,0,0,0,3,0,0,2,0,0,0,0,0,,5,8,14,0,4,9,10,9,7,6,10,9,,1,1,2,1,3,1,2,3,1,5,2,1,,32,26,29,18,22,21,12,17,18,22,24,22,,4,1,3,2,3,1,2,6,4,1,6,2,,0,0,0,1,0,0,0,0,0,0,0,2,,67,54,45,23,45,28,44,43,53,49,54,53,,11,9,10,3,4,4,4,8,8,10,10,10,,89,73,104,71,83,57,63,67,95,80,87,83,,63,61,66,30,39,24,51,62,63,62,52,49,,50,26,36,27,30,13,34,34,42,51,36,38,,171,145,179,177,146,124,116,109,113,119,91,122
22,Peñalolén,Santiago,Metropolitana de Santiago,,Peñalolén,1,2,1,4,1,0,0,0,0,1,0,0,,0,0,0,118,19,12,42,26,88,46,37,20,,2,4,3,26,4,1,6,2,0,1,4,3,,73,80,51,46,44,40,41,27,45,58,47,37,,5,4,2,5,6,4,5,10,3,6,4,2,,0,0,0,0,0,0,0,0,0,0,0,1,,142,122,102,90,77,70,93,92,118,111,150,119,,14,8,22,6,7,11,9,17,16,15,23,17,,169,129,143,109,109,84,121,148,173,175,168,167,,108,84,121,99,82,52,86,79,85,111,97,96,,74,62,83,48,65,40,71,69,75,70,84,78,,350,325,304,290,227,214,228,195,176,247,212,187
23,Providencia,Santiago,Metropolitana de Santiago,,Providencia,0,2,1,0,0,0,0,0,0,1,0,0,,21,15,65,35,62,5,21,61,88,137,234,149,,3,3,4,2,0,2,1,2,6,7,3,3,,421,300,236,79,102,68,82,98,153,205,252,239,,33,22,29,10,10,6,7,13,20,29,15,21,,0,0,0,1,0,0,0,0,0,0,0,0,,39,25,27,32,32,24,31,29,42,33,40,28,,12,19,12,2,5,4,2,6,9,10,10,9,,62,43,48,26,24,20,29,32,39,49,38,31,,203,200,181,57,55,57,53,69,135,178,137,119,,64,47,41,18,16,7,12,24,19,36,37,35,,644,625,428,226,262,168,195,164,227,366,353,316
24,Pudahuel,Santiago,Metropolitana de Santiago,,Pudahuel,0,1,2,11,0,0,0,0,0,0,0,0,,1,4,11,9,10,16,32,28,35,20,28,26,,5,1,4,2,0,0,1,3,5,2,2,7,,99,93,70,48,43,19,44,34,36,44,51,45,,9,3,3,5,2,0,7,4,6,2,2,5,,0,5,2,0,1,1,0,3,1,1,1,1,,133,119,113,72,96,83,112,121,128,113,132,152,,16,21,21,5,11,7,12,13,19,18,11,13,,167,127,119,90,119,94,88,156,131,124,168,142,,130,110,107,67,57,44,80,73,89,91,88,99,,77,68,78,48,58,48,49,61,76,78,77,91,,495,498,497,396,346,318,313,245,213,239,243,249
25,Quilicura,Santiago,Metropolitana de Santiago,,Quilicura,1,0,2,2,0,0,0,0,0,0,0,0,,52,2,75,122,18,24,20,64,78,71,131,56,,2,0,7,3,1,1,1,2,0,1,0,0,,69,52,54,40,31,46,35,32,37,48,37,31,,4,4,2,4,4,3,4,2,4,4,0,0,,1,1,2,0,0,4,0,3,3,2,3,1,,103,74,113,84,70,60,83,85,86,105,90,93,,14,22,24,11,8,6,14,14,21,13,26,13,,136,116,118,105,93,70,102,108,117,113,143,149,,85,73,85,61,48,62,54,47,77,97,84,76,,62,45,52,46,38,26,46,41,52,51,61,58,,460,448,459,348,275,280,280,180,213,266,265,253
26,Quinta Normal,Santiago,Metropolitana de Santiago,,Quinta Normal,0,1,0,3,0,0,1,0,0,1,2,0,,30,13,14,23,24,37,39,30,15,7,18,11,,2,3,5,3,11,3,5,5,1,3,1,1,,32,33,32,13,6,5,19,12,20,20,29,28,,4,2,4,4,2,5,3,8,6,2,4,5,,5,1,2,1,2,1,3,1,3,2,4,2,,82,79,54,51,47,41,49,41,65,60,59,82,,14,12,6,11,4,1,9,7,4,18,16,5,,113,82,74,54,42,34,60,63,73,66,68,85,,74,66,83,36,37,27,42,45,46,46,59,46,,49,56,49,34,29,28,45,41,53,42,40,47,,399,381,362,289,157,202,248,156,169,225,173,195
27,Recoleta,Santiago,Metropolitana de Santiago,,Recoleta,3,2,0,4,1,0,1,0,0,0,0,0,,24,8,39,8,3,4,6,34,14,20,53,35,,4,4,1,3,2,1,0,4,2,2,2,3,,81,93,55,52,39,47,46,45,52,68,70,56,,8,12,14,15,11,19,28,12,21,19,14,27,,5,4,3,1,6,2,4,5,2,4,5,6,,88,75,74,64,47,50,41,85,80,76,73,77,,22,17,15,10,5,2,8,14,17,20,19,11,,137,116,124,104,94,72,100,116,113,133,131,123,,126,102,98,63,45,40,68,76,76,135,98,79,,103,74,82,64,54,52,44,85,83,89,93,76,,572,535,478,479,352,331,344,224,247,322,313,269
28,Renca,Santiago,Metropolitana de Santiago,,Renca,1,0,0,0,0,1,0,0,0,0,0,0,,0,7,1,1,6,1,0,8,5,9,10,6,,1,1,0,1,0,1,0,5,0,1,0,0,,33,17,22,16,21,12,14,12,13,20,9,20,,5,7,7,3,1,2,8,9,6,11,9,8,,6,1,4,3,2,2,6,0,6,7,4,2,,81,87,51,55,60,43,61,67,83,82,73,109,,18,21,10,12,5,11,10,15,11,10,13,6,,117,101,98,54,47,43,65,84,79,94,99,102,,84,58,88,29,36,46,35,50,67,63,65,62,,75,75,48,38,40,35,31,47,43,54,55,76,,324,324,320,266,187,212,188,151,143,146,149,127
29,San Joaquín,Santiago,Metropolitana de Santiago,,San Joaquín,3,0,0,1,0,0,0,0,0,0,0,0,,4,16,92,13,29,9,28,72,27,59,49,35,,1,1,2,1,3,3,2,1,3,1,2,0,,34,23,28,18,16,12,38,15,16,17,20,16,,2,3,0,1,2,0,1,1,0,2,2,1,,0,0,1,0,1,0,1,1,1,1,3,1,,39,32,27,27,34,21,50,42,58,41,54,40,,7,6,3,4,6,1,6,13,1,6,4,5,,59,45,67,47,38,29,32,70,66,49,45,50,,41,32,41,31,37,20,20,27,36,39,34,44,,27,22,31,24,21,13,20,23,22,26,27,18,,219,197,207,172,125,128,148,121,120,126,108,97
30,San Miguel,Santiago,Metropolitana de Santiago,,San Miguel,4,0,4,2,0,0,0,0,0,0,0,0,,7,43,12,50,40,17,18,37,23,27,68,38,,2,5,1,1,3,4,1,4,0,2,2,5,,132,68,59,53,37,45,58,46,58,57,63,57,,6,6,2,1,8,6,2,1,3,7,5,4,,0,0,0,0,1,0,0,0,0,0,0,0,,49,57,59,41,34,26,39,49,59,46,57,55,,11,15,11,4,2,3,3,9,13,6,11,11,,84,55,47,40,38,34,34,62,54,47,65,47,,88,67,94,67,91,67,54,63,67,89,66,73,,48,37,37,14,8,10,15,20,25,26,32,31,,364,376,438,389,236,236,286,172,170,217,234,195
31,San Ramón,Santiago,Metropolitana de Santiago,,San Ramón,0,0,2,1,0,0,1,0,0,0,0,0,,5,2,0,2,0,0,2,0,1,0,8,25,,1,2,4,0,1,2,4,4,7,12,3,4,,23,22,11,5,5,7,7,7,6,13,12,15,,1,1,1,0,0,1,0,1,1,1,0,0,,1,1,0,0,0,0,0,1,0,0,0,0,,43,55,33,22,23,20,39,48,38,50,59,53,,3,9,5,7,0,2,1,12,6,5,7,8,,66,58,60,24,26,24,34,58,62,53,54,55,,36,25,33,18,34,16,28,24,35,41,27,43,,34,25,24,8,17,14,16,29,24,30,29,30,,123,140,155,106,83,89,105,73,72,78,97,78
32,Vitacura,Santiago,Metropolitana de Santiago,,Vitacura,0,0,0,0,0,0,0,0,0,0,1,0,,3,7,2,1,0,0,0,2,2,2,4,0,,0,2,0,0,1,0,1,0,3,1,0,0,,73,60,46,52,37,26,35,32,58,44,56,52,,8,4,8,3,5,1,3,2,5,7,5,1,,0,1,1,0,0,0,0,0,0,0,0,0,,8,14,12,11,11,10,8,9,19,13,15,12,,2,2,5,1,2,2,2,2,3,4,3,3,,26,9,11,9,10,2,9,14,7,9,13,10,,57,31,38,22,19,15,21,35,30,32,29,38,,15,9,10,1,4,5,3,6,6,12,13,16,,229,188,211,131,118,63,96,85,119,133,143,121
33,Puente Alto,Cordillera,Metropolitana de Santiago,,Puente Alto,12,8,19,8,0,0,1,1,1,0,0,0,,45,16,25,34,55,18,37,96,98,134,163,209,,19,8,9,9,7,5,9,19,18,10,40,26,,259,261,180,91,100,95,126,92,91,116,146,142,,16,15,11,10,13,12,14,7,12,13,9,7,,7,1,3,5,3,3,6,6,8,5,7,5,,416,334,322,270,308,217,322,352,326,342,333,390,,64,50,41,22,23,32,44,48,49,49,40,45,,447,406,380,251,289,206,267,369,406,409,416,444,,269,241,289,149,184,155,168,182,207,306,289,285,,177,155,164,85,117,102,86,139,157,156,161,184,,742,756,744,558,565,553,566,406,387,482,455,495
34,Pirque,Cordillera,Metropolitana de Santiago,,Pirque,1,4,0,0,0,0,0,0,0,0,0,0,,6,1,9,20,15,15,17,10,25,23,12,37,,4,1,2,1,4,7,3,7,7,7,1,2,,8,6,3,4,6,3,4,2,7,4,2,1,,0,0,0,1,4,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,2,0,0,0,0,,16,10,19,3,6,6,16,18,19,18,7,12,,2,4,4,1,3,1,3,3,1,5,2,4,,18,18,23,14,17,13,14,26,19,24,16,22,,11,16,13,12,31,36,24,16,17,18,29,25,,8,3,8,5,5,5,1,1,7,4,2,4,,16,26,25,19,36,20,8,14,8,12,15,24
35,San José de Maipo,Cordillera,Metropolitana de Santiago,,San José de Maipo,3,2,0,2,0,0,0,0,0,0,0,0,,16,10,9,23,21,10,2,24,43,50,92,52,,0,11,3,1,7,4,8,8,17,4,5,5,,6,8,7,4,5,1,4,3,3,5,5,5,,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,1,0,,18,16,13,8,7,12,6,11,10,18,16,17,,5,1,3,2,2,1,1,8,3,5,4,0,,22,24,29,13,18,15,10,15,14,32,25,23,,27,25,39,14,11,10,9,8,15,19,26,17,,14,8,14,11,10,3,5,7,11,12,17,3,,49,40,32,10,6,10,9,2,6,19,19,23
36,Colina,Chacabuco,Metropolitana de Santiago,,Colina,2,0,1,2,0,0,2,0,0,0,0,0,,2,6,7,7,4,1,6,5,55,23,19,19,,6,6,2,2,1,0,12,7,5,6,2,0,,97,73,62,54,46,31,43,84,78,72,72,43,,24,14,10,4,3,3,4,3,5,9,8,3,,1,2,0,1,1,0,0,0,2,0,0,3,,85,82,53,62,76,55,48,88,80,82,93,91,,12,16,7,5,10,7,12,15,12,8,18,15,,122,100,109,77,78,65,66,93,104,92,121,116,,100,68,79,44,60,41,41,54,77,71,80,87,,77,56,66,41,43,39,32,53,64,62,50,63,,240,186,207,193,198,141,171,120,126,130,158,147
37,Lampa,Chacabuco,Metropolitana de Santiago,,Lampa,0,0,0,20,3,1,0,0,0,0,0,0,,9,3,5,2,10,0,1,12,23,18,11,13,,1,2,2,0,2,0,0,5,1,0,1,0,,30,24,9,15,12,14,11,23,23,12,15,10,,3,1,1,2,0,0,1,1,1,2,1,1,,0,2,2,1,0,1,2,3,4,2,3,3,,62,55,66,62,60,54,55,55,72,68,69,65,,15,7,9,1,11,3,10,16,9,6,13,9,,78,59,68,76,67,70,74,86,107,109,119,90,,44,47,49,39,40,24,42,42,62,41,46,43,,40,29,37,29,19,36,27,31,37,34,45,55,,192,161,148,152,142,177,179,126,106,128,112,130
